i,Infant,Run
0,P320,SRR25786632
1,P320,SRR25786631
2,P320,SRR25786629
3,P320,SRR25786628
4,P320,SRR25786627
5,P320,SRR25786626
6,P284,SRR25786492
7,P284,SRR25786491
8,P284,SRR25786490
9,P284,SRR25786489
10,P284,SRR25786488
11,P358,SRR25786475
12,P358,SRR25786473
13,P358,SRR25786472
14,P358,SRR25786621
15,P358,SRR25786620
16,P346,SRR25786619
17,P346,SRR25786618
18,P346,SRR25786617
19,P346,SRR25786616
20,P346,SRR25786614
21,P346,SRR25786613
28,P072,SRR25786606
29,P072,SRR25786605
30,P072,SRR25786603
31,P072,SRR25786602
32,P072,SRR25786601
33,P072,SRR25786600
50,P128,SRR25786667
51,P128,SRR25786666
53,P128,SRR25786665
54,P128,SRR25786664
55,P128,SRR25786663
56,P128,SRR25786662
57,P184,SRR25786660
58,P184,SRR25786659
59,P184,SRR25786658
60,P184,SRR25786657
61,P184,SRR25786656
62,P184,SRR25786655
65,P533,SRR25786536
66,P533,SRR25786535
67,P533,SRR25786534
68,P533,SRR25786532
69,P533,SRR25786531
86,P375,SRR25786638
87,P375,SRR25786637
88,P375,SRR25786636
89,P375,SRR25786634
90,P375,SRR25786633
91,P420,SRR25786599
92,P420,SRR25786598
93,P420,SRR25786693
94,P420,SRR25786692
95,P420,SRR25786691
96,P241,SRR25786690
97,P241,SRR25786688
98,P241,SRR25786687
99,P241,SRR25786686
100,P241,SRR25786685
101,P209,SRR25786684
102,P209,SRR25786683
103,P209,SRR25786682
104,P209,SRR25786681
105,P209,SRR25786679
109,P076,SRR25786463
110,P076,SRR25786462
111,P076,SRR25786461
112,P076,SRR25786460
113,P076,SRR25786459
114,P096,SRR25786451
115,P096,SRR25786450
116,P096,SRR25786449
117,P096,SRR25786448
123,P094,SRR25786552
124,P094,SRR25786551
125,P094,SRR25786447
126,P094,SRR25786446
127,P094,SRR25786445
128,P664,SRR25786444
129,P664,SRR25786443
130,P664,SRR25786442
131,P664,SRR25786441
132,P664,SRR25786440
133,P721,SRR25786433
134,P721,SRR25786432
135,P721,SRR25786431
136,P721,SRR25786430
137,P721,SRR25786429
138,P721,SRR25786428
139,P691,SRR25786654
140,P691,SRR25786653
141,P691,SRR25786652
142,P691,SRR25786651
143,P691,SRR25786649
144,P414,SRR25786648
145,P414,SRR25786647
146,P414,SRR25786646
147,P414,SRR25786597
148,P414,SRR25786596
149,P541,SRR25786595
150,P541,SRR25786594
151,P541,SRR25786593
152,P541,SRR25786592
153,P541,SRR25786590
154,P541,SRR25786589
155,P277,SRR25786588
156,P277,SRR25786587
157,P277,SRR25786586
158,P277,SRR25786585
159,P277,SRR25786584
160,P277,SRR25786583
161,P379,SRR25786582
162,P379,SRR25786581
163,P379,SRR25786579
164,P379,SRR25786578
165,P379,SRR25786577
166,P379,SRR25786576
167,P399,SRR25786423
168,P399,SRR25786422
169,P399,SRR25786421
170,P399,SRR25786419
171,P399,SRR25786418
172,P399,SRR25786417
